Grower,Variety,Rating,N_Plants
1,1,A,20
1,1,B,16
1,1,C,5
1,2,A,1
1,2,B,36
1,2,C,4
1,3,A,4
1,3,B,2
1,3,C,37
2,1,A,21
2,1,B,15
2,1,C,13
2,2,A,8
2,2,B,36
2,3,A,30
2,3,B,2
2,3,C,11
3,1,A,26
3,1,B,14
3,1,C,3
3,2,A,6
3,2,B,35
3,2,C,1
3,3,A,12
3,3,B,3
3,3,C,30
4,1,A,2
4,1,B,22
4,1,C,25
4,2,B,28
4,2,C,16
4,3,A,8
4,3,B,2
4,3,C,37
5,1,B,8
5,1,C,41
5,2,B,17
5,2,C,29
5,3,A,2
5,3,B,1
5,3,C,46
6,1,A,6
6,1,B,14
6,1,C,22
6,2,A,24
6,2,B,24
6,3,A,30
6,3,B,1
6,3,C,11
7,1,A,36
7,1,B,9
7,1,C,2
7,2,B,43
7,2,C,4
7,3,A,32
7,3,B,5
7,3,C,6
8,1,A,13
8,1,B,18
8,1,C,11
8,2,B,45
8,2,C,1
8,3,A,39
8,3,B,2
8,3,C,4
9,1,A,23
9,1,B,21
9,1,C,3
9,2,A,9
9,2,B,32
9,3,A,36
9,3,B,1
9,3,C,5
10,1,A,10
10,1,B,18
10,1,C,17
10,2,A,15
10,2,B,29
10,3,A,29
10,3,B,4
10,3,C,15
11,1,A,32
11,1,B,10
11,1,C,5
11,2,A,2
11,2,B,42
11,2,C,1
11,3,A,30
11,3,B,4
11,3,C,12
12,1,A,3
12,1,B,9
12,1,C,29
12,2,B,28
12,2,C,12
12,3,A,10
12,3,B,3
12,3,C,30
